| Collection File | Total | Uploaded to R2 | % Status |
| reina-sofia-collection-part5 | 2000 | 0 | 🔴 0.0% |
| reina-sofia-collection-part6 | 2000 | 0 | 🔴 0.0% |
| reina-sofia-collection-part7 | 2000 | 0 | 🔴 0.0% |
| met-ny-collection | 1996 | 0 | 🔴 0.0% |
| thebroad-collection | 1870 | 0 | 🔴 0.0% |
| si-npg | 1828 | 1814 | 🟡 99.2% |
| pushkin-paintings | 1796 | 0 | 🔴 0.0% |
| munch-collection | 1765 | 0 | 🔴 0.0% |
| staedel-museum-collection | 1712 | 1711 | 🟢 100.0% |
| carnavalet-the-collection | 1630 | 0 | 🔴 0.0% |
| mamcs-strasbourg-paintings-collection | 1619 | 1619 | 🟢 100.0% |
| lacma-classification-22 | 1614 | 0 | 🔴 0.0% |
| lacma-list | 1614 | 0 | 🔴 0.0% |
| si-asian-art | 1524 | 1524 | 🟢 100.0% |
| musee-armee-collection | 1476 | 1476 | 🟢 100.0% |
| bruecke-museum-collection | 1391 | 1389 | 🟡 99.9% |
| sinebrychoff-collection | 1365 | 0 | 🔴 0.0% |
| mplus-collection-sigg | 1331 | 0 | 🔴 0.0% |
| rijksmuseum-photography-collection | 1140 | 0 | 🔴 0.0% |
| mca-collection | 1115 | 0 | 🔴 0.0% |
| museum-ludwig-paintings | 1111 | 0 | 🔴 0.0% |
| lacma-drawings-51 | 1084 | 0 | 🔴 0.0% |
| lacma-list-drawings-51 | 1084 | 0 | 🔴 0.0% |
| mamcs-strasbourg-graphic-design-collection | 1082 | 1082 | 🟢 100.0% |
| mamcs-strasbourg-graphicdesign-collection | 1082 | 0 | 🔴 0.0% |
| tretyakov-wikidata | 1018 | 0 | 🔴 0.0% |
| jmoa-collection-all | 1000 | 1000 | 🟢 100.0% |
| mah-collection-1768572847125 | 1000 | 0 | 🔴 0.0% |
| mah-collection-1768573047934 | 1000 | 0 | 🔴 0.0% |
| mah-collection-1771334816872 | 1000 | 0 | 🔴 0.0% |
| smb-humboldt-forum-collection | 980 | 974 | 🟡 99.4% |
| fine-arts-be-complete | 973 | 0 | 🔴 0.0% |
| folk-museum | 927 | 927 | 🟢 100.0% |
| rusmuseum-collection | 887 | 0 | 🔴 0.0% |
| wawel-collection | 872 | 0 | 🔴 0.0% |
