Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Hayward Gallery","United Kingdom","hayward-25089","hayward-25089.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25092","hayward-25092.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25093","hayward-25093.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25095","hayward-25095.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25096","hayward-25096.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25107","hayward-25107.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-64913","hayward-64913.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-64914","hayward-64914.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-62389","hayward-62389.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-59920","hayward-59920.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25041","hayward-25041.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25042","hayward-25042.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25057","hayward-25057.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25081","hayward-25081.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25086","hayward-25086.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25094","hayward-25094.json",0,0,"❌ 수집안됨 (파일없음)"
"National Gallery","United Kingdom","ng-1","ng-1.json",0,0,"❌ 수집안됨 (파일없음)"
"National Museum Wales","United Kingdom","museum-wales-art","museum-wales-art.json",9996,9995,"✅ 완료(정상표시)"
"National Museum Wales","United Kingdom","museum-wales-paintings","museum-wales-paintings.json",4203,4203,"✅ 완료(정상표시)"
"National Portrait Gallery","United Kingdom","npg-london-collection","national-portrait-gallery-london-collection.json",1401,1401,"✅ 완료(정상표시)"
"Royal Academy of Arts","United Kingdom","ra-1","royal-academy-collection.json",259,259,"✅ 완료(정상표시)"
"Scottish National Gallery of Modern Art","United Kingdom","sngma-collection","scottish-national-gallery-of-modern-art-collection.json",29,29,"✅ 완료(정상표시)"
"Scottish National Gallery","United Kingdom","sng-collection","scottish-national-gallery-collection.json",480,478,"✅ 완료(정상표시)"
"Scottish National Portrait Gallery","United Kingdom","snpg-collection","scottish-national-portrait-gallery-collection.json",155,155,"✅ 완료(정상표시)"
"Sir John Soane's Museum","United Kingdom","soane-paintings","soane-paintings.json",390,390,"✅ 완료(정상표시)"
"Tate Britain","United Kingdom","tbc-perm-1","tbc-perm-1.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Britain","United Kingdom","tm-perm-3","tm-perm-3.json",0,0,"❌ 수집안됨 (파일없음)"
