id,museum,museumId,title,artist,year,category,medium,description,onDisplay,image,sourceUrl
"egyptian-cairo-statue-of-senenmut-with-the-princess-nefrure-2","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Senenmut With The Princess Nefrure 2","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-senusret-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Senusret Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-the-dwarf-seneb-and-his-family","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of The Dwarf Seneb And His Family","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-the-goddess-hathor-with-amenhotep-ii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of The Goddess Hathor With Amenhotep Ii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-the-ka-of-tutankhamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of The Ka Of Tutankhamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-the-priest-of-god-amun-called-djedhor","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of The Priest Of God Amun Called Djedhor","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-represented-neith","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Represented Neith","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statues-of-tuthmosis-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statues Of Tuthmosis Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statues-of-tuthmosis-iii-2","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statues Of Tuthmosis Iii 2","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statuette-of-imhotep-seated","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statuette Of Imhotep Seated","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statuette-of-khufu","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statuette Of Khufu","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statuette-of-osiris","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statuette Of Osiris","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statuette-of-seated-isis-suckling-hours","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statuette Of Seated Isis Suckling Hours","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statuette-of-standing-hippopotamus","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statuette Of Standing Hippopotamus","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
